company_name,business_url,city,primary_category,secondary_category,rating,rating_count,business_age,business_age_label
Mugdha Enterprises,https://www.justdial.com/Pune/Mugdha-Enterprises-Lic-Colony-Kothrud/020PXX20-XX20-110411114643-C6Y8_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-v4x3zda,Pune,Electronic Component Manufacturers,Electronic Equipment Manufacturers,4.8,2 Ratings,15 Years,in Business
Nikola Electronics Company,https://www.justdial.com/Pune/Nikola-Electronics-Company-Vadgaon-Sheri/020PXX20-XX20-220814041249-F6Q2_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-u33h3gv,Pune,Electronic Component Manufacturers,Electronic Equipment Manufacturers,4.0,2 Ratings,,
Bevcon Wayors Pvt Ltd,https://www.justdial.com/Pune/Bevcon-Wayors-Pvt-Ltd-Baner/020PXX20-XX20-101112201740-G7X3_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-ddsrhgv,Pune,Electronic Equipment Manufacturers,Construction Machine Dealers,3.4,4 Ratings,24 Years,in Business
Voltiza Power Technology,https://www.justdial.com/Pune/Voltiza-Power-Technology-Opposite-Cwprs-Gate-Khadakwasla/020PXX20-XX20-180606013420-K2F7_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-vvk6rey,Pune,Electronic Equipment Manufacturers,Electrical Panel Manufacturers,4.0,3 Ratings,8 Years,in Business
Digital Circuits Pvt Ltd,https://www.justdial.com/Pune/Digital-Circuits-Pvt-Ltd-Near-Bajaj-Auto-Chakan-Material-Gate-Mahalunge-Gaon-Taluk-Rajgurunagar-Chakan/020PXX20-XX20-160315075437-M7D8_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-7w0u58i,Pune,Electronic Equipment Manufacturers,Power Supply Unit Manufacturers,3.5,3 Ratings,10 Years,in Business
Sparsh Electronics India Pvt Ltd,https://www.justdial.com/Pune/Sparsh-Electronics-India-Pvt-Ltd-Tulapur/020PXX20-XX20-210604123115-F2P5_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-ln6rg1g,Pune,Electronic Component Manufacturers,Electronic Equipment Manufacturers,3.5,3 Ratings,,
Nu Horizons Electronics Asia Pvt Ltd,https://www.justdial.com/Pune/Nu-Horizons-Electronics-Asia-Pvt-Ltd-Near-Telephone-Exchange-Panchami-Hotel-Parvati/020P5085346_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-00v0xmx,Pune,Electronic Component Dealers,Electronic Equipment Manufacturers,3.5,3 Ratings,20 Years,in Business
Relique Technologies,https://www.justdial.com/Pune/Relique-Technologies-Behind-Kaka-Halwai-Navi-Peth-Sadashiv-Peth/020PF003769_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-3fwk1u8,Pune,Safety Equipment Dealers,Book Publishers,5.0,2 Ratings,19 Years,in Business
Power Formers Engineers Pvt Ltd,https://www.justdial.com/Pune/Power-Formers-Engineers-Pvt-Ltd-Bhosari-Industrial-Estate/020PXX20-XX20-140513143154-B5Y1_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-jt9vebi,Pune,Electronic Component Manufacturers,Electronic Equipment Manufacturers,5.0,2 Ratings,12 Years,in Business
Mugdha Enterprises,https://www.justdial.com/Pune/Mugdha-Enterprises-Lic-Colony-Kothrud/020PXX20-XX20-110411114643-C6Y8_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-v4x3zda,Pune,Electronic Component Manufacturers,Electronic Equipment Manufacturers,4.8,2 Ratings,15 Years,in Business
Nikola Electronics Company,https://www.justdial.com/Pune/Nikola-Electronics-Company-Vadgaon-Sheri/020PXX20-XX20-220814041249-F6Q2_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-u33h3gv,Pune,Electronic Component Manufacturers,Electronic Equipment Manufacturers,4.0,2 Ratings,,
Jeevtronics Pvt Ltd,https://www.justdial.com/Pune/Jeevtronics-Pvt-Ltd-Hingne-Budrukh/020PXX20-XX20-220623063343-L5Y2_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-ddsrhgv,Pune,Electronic Component Manufacturers,Electronic Equipment Manufacturers,4.0,2 Ratings,,
Kukson Electronics Pvt Ltd,https://www.justdial.com/Pune/Kukson-Electronics-Pvt-Ltd-Kurali/020PXX20-XX20-250319200931-X7G3_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-vvk6rey,Pune,Electronic Component Manufacturers,Electronic Equipment Manufacturers,2.6,3 Ratings,,
Pragat Technologies,https://www.justdial.com/Pune/Pragat-Technologies-Near-Warje-Flyover-Warje/020PXX20-XX20-100603155303-K8G6_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-7w0u58i,Pune,Electronic Equipment Manufacturers,Instrumentation Engineering Services,3.5,2 Ratings,27 Years,in Business
Elantas Beck India Ltd,https://www.justdial.com/Pune/Elantas-Beck-India-Ltd-Damale-Path-Erandwane/020P5089421_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-ln6rg1g,Pune,Electronic Equipment Manufacturers,Industrial Coating Manufacturers,3.5,2 Ratings,18 Years,in Business
M S Leoni Wiring Systems Pune Pvt Ltd,https://www.justdial.com/Pune/M-S-Leoni-Wiring-Systems-Pune-Pvt-Ltd-Pirangut/020PXX20-XX20-230109060640-N1W2_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-00v0xmx,Pune,Electronic Component Manufacturers,Electronic Equipment Manufacturers,5.0,1 Rating,,
Mechatronics Test Equipment I Pvt Ltd,https://www.justdial.com/Pune/Mechatronics-Test-Equipment-I-Pvt-Ltd-Off-Karve-Road-Near-Yashwantrao-Chavan-Natyagruha-Opposite-Bhelkar-Nagar-Kothrud/020P5078151_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-3fwk1u8,Pune,Measuring Equipment Dealers,Electronic Component Dealers,5.0,1 Rating,21 Years,in Business
Electrovision,https://www.justdial.com/Pune/Electrovision-Pune-Satara-Road/020PXX20-XX20-000921287885-X4N2_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-jt9vebi,Pune,Electronic Component Manufacturers,Electronic Equipment Manufacturers,5.0,1 Rating,26 Years,in Business
Anro Technologies,https://www.justdial.com/Pune/Anro-Technologies-Indrayani-Nagar-Pimpri/020PXX20-XX20-090520173034-N7D4_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-v4x3zda,Pune,Electronic Goods Manufacturers,Electronic Component Manufacturers,5.0,1 Rating,17 Years,in Business
Eagle Electronic Co,https://www.justdial.com/Pune/Eagle-Electronic-Co-Ghorpade-Peth-Swargate/020P5081078_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-u33h3gv,Pune,Electronic Component Manufacturers,Electronic Equipment Manufacturers,4.5,1 Rating,21 Years,in Business
M S Leoni Wiring Systems Pune Pvt Ltd,https://www.justdial.com/Pune/M-S-Leoni-Wiring-Systems-Pune-Pvt-Ltd-Pirangut/020PXX20-XX20-230109060640-N1W2_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-00v0xmx,Pune,Electronic Component Manufacturers,Electronic Equipment Manufacturers,5.0,1 Rating,,
Mechatronics Test Equipment I Pvt Ltd,https://www.justdial.com/Pune/Mechatronics-Test-Equipment-I-Pvt-Ltd-Off-Karve-Road-Near-Yashwantrao-Chavan-Natyagruha-Opposite-Bhelkar-Nagar-Kothrud/020P5078151_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-3fwk1u8,Pune,Measuring Equipment Dealers,Electronic Component Dealers,5.0,1 Rating,21 Years,in Business
Anro Technologies,https://www.justdial.com/Pune/Anro-Technologies-Indrayani-Nagar-Pimpri/020PXX20-XX20-090520173034-N7D4_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-v4x3zda,Pune,Electronic Goods Manufacturers,Electronic Component Manufacturers,5.0,1 Rating,17 Years,in Business
Eagle Electronic Co,https://www.justdial.com/Pune/Eagle-Electronic-Co-Ghorpade-Peth-Swargate/020P5081078_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-u33h3gv,Pune,Electronic Component Manufacturers,Electronic Equipment Manufacturers,4.5,1 Rating,21 Years,in Business
Stellar Modular Systems Pvt Ltd,https://www.justdial.com/Pune/Stellar-Modular-Systems-Pvt-Ltd-Midc-Bhosari-Industrial-Estate/020P5090652_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-ddsrhgv,Pune,Electronic Component Dealers,Electronic Equipment Manufacturers,4.0,1 Rating,21 Years,in Business
Mayur Electrical & General Tools,https://www.justdial.com/Pune/Mayur-Electrical-General-Tools-Pradhikaran/020P5090655_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-zsn1gbk,Pune,Electronic Component Dealers,Electronic Equipment Manufacturers,4.0,1 Rating,21 Years,in Business
Shree Samarth Industries,https://www.justdial.com/Pune/Shree-Samarth-Industries-Near-Aswad-Hotel-Nanded-Phata/020PXX20-XX20-101016183635-V7F1_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-vvk6rey,Pune,Electronic Equipment Manufacturers,Acoustic Material Manufacturers,3.5,1 Rating,25 Years,in Business
Perifon Electronics India Pvt Ltd,https://www.justdial.com/Pune/Perifon-Electronics-India-Pvt-Ltd-Near-Mahesh-Society-Gas-Godown-Bibwewadi-Bibvewadi/020PXX20-XX20-230729202706-E7A1_BZDET?trkid=13198555-pune-fcat-catai&term=industrial%20instrumentation%20manufacturers%20pune&ncatid=10185013&area=&search=Popular%20Electronic%20Equipment%20Manufacturers%20in%20Pune&mncatname=Electronic%20Equipment%20Manufacturers&ftterm=&csell=&oncatid=10185013&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=1&searchfrom=lst&thumbnail=electronic-equipment-7w0u58i,Pune,Electronic Component Manufacturers,Electronic Equipment Manufacturers,3.0,1 Rating,,
